entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
10/16/18,0+,3416,3357
10/17/18,0+,5832,5740
10/18/18,0+,5365,5254
10/19/18,0+,7915,7669
10/20/18,0+,13583,13242
10/21/18,0+,6914,6728
10/22/18,0+,9134,8933
10/23/18,0+,5780,5613
10/24/18,0+,7715,7555
10/25/18,0+,6232,6064
10/26/18,0+,8845,8494
10/27/18,0+,14747,14280
10/28/18,0+,7912,7647
10/29/18,0+,10988,10638
10/30/18,0+,7176,6922
10/31/18,0+,5606,5397
11/1/18,0+,9117,8757
11/2/18,0+,12183,11636
11/3/18,0+,16277,15734
11/4/18,0+,9896,9607
11/5/18,0+,11241,10821
11/6/18,0+,10449,10144
11/7/18,0+,9178,8918
11/8/18,0+,8688,8336
11/9/18,0+,10765,10095
11/10/18,0+,18084,17252
11/11/18,0+,14701,14200
11/12/18,0+,11661,11233
11/13/18,0+,7005,6687
11/14/18,0+,8141,7865
11/15/18,0+,8874,8443
11/16/18,0+,11419,10883
11/17/18,0+,15555,14857
11/18/18,0+,16136,15512
11/19/18,0+,18822,18191
11/20/18,0+,15139,14648
11/21/18,0+,16791,16018
11/22/18,0+,17837,16663
11/23/18,0+,20957,19819
11/24/18,0+,16809,16207
11/25/18,0+,10651,10161
11/26/18,0+,15113,14376
11/27/18,0+,7824,7470
11/28/18,0+,8959,8557
11/29/18,0+,8574,8215
11/30/18,0+,11198,10503
12/1/18,0+,15012,14321
12/2/18,0+,10072,9684
12/3/18,0+,14634,13897
12/4/18,0+,8332,7918
12/5/18,0+,6583,6463
12/6/18,0+,9317,8827
12/7/18,0+,12683,11906
12/8/18,0+,17705,16926
12/9/18,0+,8734,8362
12/10/18,0+,17180,16419
12/11/18,0+,8783,8315
12/12/18,0+,11558,11032
12/13/18,0+,9922,9378
12/14/18,0+,11502,10636
12/15/18,0+,18540,17659
12/16/18,0+,16987,16018
12/17/18,0+,20370,19527
12/18/18,0+,14449,13799
12/19/18,0+,18035,17240
12/20/18,0+,9713,9311
12/21/18,0+,20608,19588
12/22/18,0+,30775,29390
12/23/18,0+,33992,32464
12/24/18,0+,40819,39182
12/25/18,0+,38347,37143
12/26/18,0+,35317,34023
12/27/18,0+,41192,39682
12/28/18,0+,32282,30970
12/29/18,0+,36291,34793
12/30/18,0+,37257,35531
12/31/18,0+,47719,45315
1/1/19,0+,19917,19185
1/2/19,0+,29918,28595
1/3/19,0+,23593,22470
1/4/19,0+,17329,16399
1/5/19,0+,18210,17474
1/6/19,0+,16408,15686
1/7/19,0+,16356,15662
1/8/19,0+,14898,14165
1/9/19,0+,12538,12082
1/10/19,0+,14009,13366
1/11/19,0+,15310,14615
1/12/19,0+,18659,17964
1/13/19,0+,13211,12618
1/14/19,0+,19596,18581
1/15/19,0+,13353,12669
1/16/19,0+,12145,11572
1/17/19,0+,15666,14988
1/18/19,0+,18731,17926
1/19/19,0+,24103,23179
1/20/19,0+,19288,18615
1/21/19,0+,21587,20610
1/22/19,0+,22331,21165
1/23/19,0+,15064,14328
1/24/19,0+,12666,12074
1/25/19,0+,18811,18009
1/26/19,0+,23086,22027
1/27/19,0+,12069,11577
1/28/19,0+,20534,19536
1/29/19,0+,15346,14645
1/30/19,0+,11938,11293
1/31/19,0+,13861,13298
2/1/19,0+,16028,15288
2/2/19,0+,20856,19876
2/3/19,0+,17667,16866
2/4/19,0+,22191,21121
2/5/19,0+,16115,15453
2/6/19,0+,14339,13789
2/7/19,0+,14920,14327
2/8/19,0+,17727,17013
2/9/19,0+,20620,19790
2/10/19,0+,16599,15970
2/11/19,0+,24336,23351
2/12/19,0+,13362,12747
2/13/19,0+,15082,14574
2/14/19,0+,24407,23613
2/15/19,0+,22174,21490
2/16/19,0+,23222,22474
2/17/19,0+,22657,21990
2/18/19,0+,27464,26695
2/19/19,0+,28947,27924
2/20/19,0+,23390,22751
2/21/19,0+,22433,21667
2/22/19,0+,22668,21848
2/23/19,0+,25492,24573
2/24/19,0+,21340,20572
2/25/19,0+,29703,28737
2/26/19,0+,17566,17009
2/27/19,0+,15364,14868
2/28/19,0+,20569,19913
3/1/19,0+,20710,19934
3/2/19,0+,25955,25075
3/3/19,0+,22859,22189
3/4/19,0+,22425,21631
3/5/19,0+,21371,20562
3/6/19,0+,22530,21863
3/7/19,0+,21248,20589
3/8/19,0+,18636,18104
3/9/19,0+,21983,21469
3/10/19,0+,26904,26229
3/11/19,0+,32500,31667
3/12/19,0+,32338,31509
3/13/19,0+,26400,25765
3/14/19,0+,23287,22711
3/15/19,0+,21207,20541
3/16/19,0+,22716,22094
3/17/19,0+,26866,26079
3/18/19,0+,31817,31019
3/19/19,0+,19419,18927
3/20/19,0+,24456,23892
3/21/19,0+,23004,22424
3/22/19,0+,24712,24126
3/23/19,0+,24938,24172
3/24/19,0+,29518,28783
3/25/19,0+,32845,32043
3/26/19,0+,26528,25881
3/27/19,0+,22724,22269
3/28/19,0+,27225,26665
3/29/19,0+,23545,22929
3/30/19,0+,24979,24363
3/31/19,0+,29030,28438
4/1/19,0+,32522,31807
4/2/19,0+,22799,22253
4/3/19,0+,24112,23681
4/4/19,0+,22217,21708
4/5/19,0+,18905,18445
4/6/19,0+,21330,20692
4/7/19,0+,21040,20542
4/8/19,0+,21673,21057
4/9/19,0+,15368,14903
4/10/19,0+,19093,18584
4/11/19,0+,19692,19145
4/12/19,0+,22799,22073
4/13/19,0+,25900,25086
4/14/19,0+,28595,27737
4/15/19,0+,38488,37296
4/16/19,0+,32015,30899
4/17/19,0+,29674,28708
4/18/19,0+,28792,27809
4/19/19,0+,23195,22412
4/20/19,0+,33717,32789
4/21/19,0+,25092,24442
4/22/19,0+,34158,33247
4/23/19,0+,27549,26893
4/24/19,0+,22373,21765
4/25/19,0+,19659,19222
4/26/19,0+,16829,16297
4/27/19,0+,22457,21764
4/28/19,0+,24332,23643
4/29/19,0+,25022,24236
4/30/19,0+,17512,16878
5/1/19,0+,16501,15942
5/2/19,0+,15560,14907
5/3/19,0+,17389,16770
5/4/19,0+,24751,23997
5/5/19,0+,20680,19997
5/6/19,0+,27307,26509
5/7/19,0+,20658,19902
5/8/19,0+,18165,17518
5/9/19,0+,15081,14621
5/10/19,0+,17147,16566
5/11/19,0+,23502,22809
5/12/19,0+,21010,20366
5/13/19,0+,27010,26054
5/14/19,0+,22450,21642
5/15/19,0+,20371,19701
5/16/19,0+,18650,18065
5/17/19,0+,18526,18038
5/18/19,0+,25177,24408
5/19/19,0+,22938,22224
5/20/19,0+,25792,24903
5/21/19,0+,17776,17128
5/22/19,0+,17246,16683
5/23/19,0+,18131,17682
5/24/19,0+,18802,18268
5/25/19,0+,28143,27362
5/26/19,0+,28238,27539
5/27/19,0+,28050,27298
5/28/19,0+,26133,25436
5/29/19,0+,19288,18737
5/30/19,0+,17642,17173
5/31/19,0+,18835,18019
6/1/19,0+,26428,25782
6/2/19,0+,27706,27129
6/3/19,0+,29759,29005
6/4/19,0+,23183,22576
6/5/19,0+,21188,20696
6/6/19,0+,20255,19682
6/7/19,0+,20729,20245
6/8/19,0+,25164,24587
6/9/19,0+,26234,25674
6/10/19,0+,30858,30068
6/11/19,0+,24558,23845
6/12/19,0+,21161,20458
6/13/19,0+,18837,18219
6/14/19,0+,21986,21316
6/15/19,0+,27552,26760
6/16/19,0+,24978,24304
6/17/19,0+,30819,29434
6/18/19,0+,24815,23787
6/19/19,0+,21656,20897
6/20/19,0+,24916,24129
6/21/19,0+,23790,23023
6/22/19,0+,29508,28532
6/23/19,0+,28440,27700
6/24/19,0+,33986,32672
6/25/19,0+,27603,26678
6/26/19,0+,24066,23123
6/27/19,0+,23274,22357
6/28/19,0+,22178,21388
6/29/19,0+,26177,25226
6/30/19,0+,30812,29751
7/1/19,0+,30256,29262
7/2/19,0+,27008,25835
7/3/19,0+,27459,26396
7/4/19,0+,28474,27178
7/5/19,0+,34998,33840
7/6/19,0+,28930,27907
7/7/19,0+,31908,30827
7/8/19,0+,35895,34411
7/9/19,0+,30184,28674
7/10/19,0+,27207,26083
7/11/19,0+,24634,23813
7/12/19,0+,23473,22619
7/13/19,0+,30722,29843
7/14/19,0+,29265,28326
