Date,Room_Counts,Guest_Count,No_DVC_Room_Count,No_DVC_Guest_Count
2014-05-26,23126,76247,19003,60571
2014-05-27,22656,74432,18635,59216
2014-05-28,23036,74935,18976,59599
2014-05-29,23613,76840,19472,61196
2014-05-30,23753,77961,19572,62180
2014-05-31,23146,75747,18975,59992
2014-06-01,21296,69066,17233,53310
2014-06-02,21683,69420,17672,53705
2014-06-03,21316,68246,17376,52803
2014-06-04,21150,68770,17158,53058
2014-06-05,21302,70244,17191,54186
2014-06-06,21142,70893,17003,54745
2014-06-07,21739,73066,17580,56770
2014-06-08,23192,78515,18932,61463
2014-06-09,25215,85212,20868,67724
2014-06-10,25863,87292,21556,69949
2014-06-11,26031,88200,21722,70776
2014-06-12,25825,87303,21488,69874
2014-06-13,24514,82658,20280,65783
2014-06-14,23151,77230,19016,60811
2014-06-15,24060,80055,19777,62833
2014-06-16,24978,82836,20643,65350
2014-06-17,25432,84425,21015,66655
2014-06-18,25431,85489,20948,67345
2014-06-19,25399,85556,20895,67349
2014-06-20,24337,82419,19962,64781
2014-06-21,23873,79812,19549,62645
2014-06-22,24107,80337,19685,62512
2014-06-23,25677,85183,21114,66759
2014-06-24,27426,89998,22846,71399
2014-06-25,27360,91089,22768,72404
2014-06-26,27243,91744,22671,73192
2014-06-27,26018,87759,21578,69811
2014-06-28,25167,84685,20886,67565
2014-06-29,22952,79499,18609,61920
2014-06-30,23182,80451,18966,63358
2014-07-01,23540,81731,19252,64362
2014-07-02,23420,81843,19088,64251
2014-07-03,25347,87962,20812,69663
2014-07-04,27173,93862,22545,75226
2014-07-05,24611,84733,20218,67222
2014-07-06,21753,75338,17621,58795
2014-07-07,22742,78133,18544,61306
2014-07-08,23181,79155,18975,62304
2014-07-09,23138,79007,18932,62168
2014-07-10,23053,78859,18883,62203
2014-07-11,22737,77857,18672,61671
2014-07-12,22631,77571,18585,61506
2014-07-13,23447,79558,19216,62530
2014-07-14,24533,83135,20252,65763
2014-07-15,25072,84239,20750,66784
2014-07-16,25317,84581,20942,67000
2014-07-17,24794,83782,20403,66128
2014-07-18,24061,82257,19774,65038
2014-07-19,23322,80053,19099,63196
2014-07-20,22631,78228,18289,60594
2014-07-21,23353,80502,18922,62491
2014-07-22,23666,81009,19226,62979
2014-07-23,23745,81565,19279,63522
2014-07-24,24129,82773,19651,64673
2014-07-25,23614,80850,19195,63036
2014-07-26,23229,79112,18828,61449
2014-07-27,21059,73059,16656,55115
2014-07-28,21442,74240,17007,56149
2014-07-29,22594,76521,18138,58274
2014-07-30,23075,77458,18595,59133
2014-07-31,23607,78868,19126,60591
2014-08-01,22925,78568,18472,60509
2014-08-02,24588,83108,20130,65123
2014-08-03,25619,85956,21131,67769
2014-08-04,27324,90791,22822,72480
2014-08-05,27693,92382,23149,73857
2014-08-06,27116,91562,22573,73145
2014-08-07,27337,91920,22756,73443
2014-08-08,26971,91313,22397,72978
2014-08-09,26729,89941,22184,71802
2014-08-10,25515,85263,20997,67266
2014-08-11,25929,86056,21420,68022
2014-08-12,25697,85051,21238,67168
2014-08-13,25169,84217,20686,66235
2014-08-14,25167,84215,20685,66211
2014-08-15,25801,86393,21333,68533
2014-08-16,25438,84989,20907,66922
2014-08-17,24265,81063,19708,62753
2014-08-18,25162,83944,20611,65604
2014-08-19,25647,85438,21060,66892
2014-08-20,25888,86478,21297,67985
2014-08-21,25470,85008,20891,66668
2014-08-22,25358,84390,20772,66175
2014-08-23,24956,82072,20414,64447
2014-08-24,22241,73664,17968,56934
2014-08-25,22390,73517,18177,57148
2014-08-26,21194,69026,17099,53326
2014-08-27,20520,66307,16586,51332
2014-08-28,20416,66132,16374,50929
2014-08-29,23482,76379,19234,60320
2014-08-30,25524,82113,21200,65965
2014-08-31,25157,80629,21004,65451
2014-09-01,17183,52653,14218,42368
2014-09-02,16866,49692,14209,40749
2014-09-03,17666,51095,14951,42092
2014-09-04,19397,56284,16385,46272
2014-09-05,22545,66945,19091,55267
2014-09-06,23190,69530,19568,57302
2014-09-07,20494,59338,17163,48524
2014-09-08,21556,60965,18278,50396
2014-09-09,22159,61999,18895,51508
2014-09-10,22220,62729,18906,52028
2014-09-11,23164,66117,19614,54574
2014-09-12,24450,71857,20663,59241
2014-09-13,25441,75496,21478,62149
2014-09-14,24137,70274,20357,57658
2014-09-15,24398,70128,20702,57811
2014-09-16,24394,69926,20709,57640
2014-09-17,24967,72048,21123,59137
2014-09-18,26016,76245,21864,62149
2014-09-19,27602,82311,23158,66928
2014-09-20,27903,82897,23365,67070
2014-09-21,26101,75974,21799,61326
2014-09-22,25623,74313,21451,60179
2014-09-23,25452,75124,21268,60868
2014-09-24,26560,80412,22202,65227
2014-09-25,27629,84734,23148,68856
2014-09-26,28040,86734,23495,70540
2014-09-27,27762,85829,23254,69855
2014-09-28,24628,74169,20404,59877
2014-09-29,23877,69741,19911,56736
