,Delta_Final_First_Entry_Date,Purchased  <=10 Days Prior,Purchased  <=20 Days Prior,Purchased  <=30 Days Prior,Purchased  <=50 Days Prior,Purchased  <=60 Days Prior
3/11/19,40566,15306,11362,8169,4307,2929
3/12/19,40383,14040,9518,6598,2966,1939
3/13/19,32598,9564,6603,4666,2218,1531
3/14/19,29052,9767,6987,4832,2373,1569
3/15/19,26177,8248,5749,4219,2107,1518
3/16/19,27792,8216,6140,4620,2772,2099
3/17/19,33582,13184,9887,7384,4185,3090
3/18/19,39395,14848,10982,7978,4223,3099
3/19/19,24310,9834,7124,5102,2449,1697
3/20/19,30139,8567,6275,4452,2198,1594
3/21/19,28403,9216,6536,4662,2648,1836
3/22/19,30756,9850,7014,4923,2582,1935
3/23/19,30709,8783,6671,4937,3123,2446
3/24/19,36956,15083,11672,8753,5503,4241
3/25/19,41241,18820,14607,10489,5389,4295
3/26/19,33093,12674,9490,6654,3436,2580
3/27/19,28369,9823,7210,5182,2788,2109
3/28/19,33640,10278,7619,4999,2573,2018
3/29/19,29081,10058,7439,5314,2728,2103
3/30/19,30538,8642,6307,4570,2837,2364
3/31/19,36631,15251,12144,9046,4968,3959
4/1/19,40706,17944,13796,10087,4879,3563
4/2/19,28371,11626,8636,6253,2692,1944
4/3/19,30097,9433,7040,5113,2436,1843
4/4/19,27644,10318,7742,5553,2683,1941
4/5/19,23513,8446,6088,4416,2173,1663
4/6/19,25925,7467,5281,3941,1939,1447
4/7/19,26367,10993,8809,6737,3521,2754
4/8/19,27115,11769,9357,6912,3119,2350
4/9/19,19149,8586,6437,4406,1888,1331
4/10/19,23486,7492,5801,4176,1964,1493
4/11/19,24440,9275,7454,5510,2424,1666
4/12/19,28447,10624,8138,5959,3040,2305
4/13/19,31844,11102,8892,6797,3793,3118
4/14/19,35623,15154,12537,9853,5533,4347
4/15/19,47853,19454,15312,11175,5497,4114
4/16/19,39424,14169,10984,7869,3548,2645
4/17/19,36519,12178,9212,6795,3124,2445
4/18/19,35414,12578,9629,7127,3434,2673
4/19/19,28718,11488,8639,6715,3399,2645
4/20/19,41099,11764,8931,6918,3267,2615
4/21/19,31044,11214,9047,7233,3746,2921
4/22/19,42348,16482,13129,9954,4865,3725
4/23/19,33956,12332,9816,7394,3227,2433
4/24/19,27383,9146,7277,5536,2479,1786
4/25/19,23913,8212,6412,4995,2195,1536
4/26/19,20443,7661,5962,4616,2220,1629
4/27/19,26373,8397,6458,4813,2155,1583
4/28/19,27490,10040,8027,6388,3631,2850
4/29/19,28354,12509,9896,7657,3982,3006
4/30/19,19628,7467,5967,4565,2416,1858
5/1/19,16578,5639,4605,3680,2063,1609
5/2/19,15619,5867,4781,3604,2074,1556
5/3/19,17474,5933,4611,3699,2140,1588
5/4/19,24802,6882,5306,4143,2374,1917
5/5/19,20745,8004,6819,5708,3452,2892
5/6/19,27418,12531,10476,8573,4908,3787
5/7/19,20735,8559,6941,5448,2946,2114
5/8/19,18239,6677,5414,4187,2337,1785
5/9/19,15123,5302,4337,3494,2093,1561
5/10/19,17209,5515,4215,3335,1987,1493
5/11/19,23540,6442,5048,4068,2536,1988
5/12/19,21084,7850,6619,5495,3602,2775
5/13/19,27099,12049,10049,8288,5443,3860
5/14/19,22514,8858,7010,5457,3176,2239
5/15/19,20431,6536,5181,4170,2485,1761
5/16/19,18700,6292,5124,4154,2686,1920
5/17/19,18559,6027,4722,3650,2098,1659
5/18/19,25229,7133,5574,4483,2700,2133
5/19/19,22991,7972,6544,5401,3365,2818
5/20/19,25841,10655,8372,6822,4292,3408
5/21/19,17820,6172,4811,3774,2178,1719
5/22/19,17280,5158,4034,3207,2008,1647
5/23/19,18179,5728,4594,3691,2177,1876
5/24/19,18851,5812,4370,3428,2152,1703
5/25/19,28198,8636,6666,5202,3319,2735
5/26/19,28295,8871,7299,5966,3839,3298
5/27/19,28103,10844,8791,7082,4344,3503
5/28/19,26206,9936,8130,6378,3915,3124
5/29/19,19311,6371,5140,4089,2536,2105
5/30/19,17681,6047,4793,3761,2227,1773
5/31/19,18882,5972,4608,3674,2137,1676
6/1/19,26490,7779,6102,5018,3233,2684
6/2/19,27759,9182,7817,6378,4188,3476
6/3/19,29827,11427,9227,7331,4535,3719
6/4/19,23200,8031,6295,4882,2769,2307
6/5/19,21244,6363,5099,3908,2423,2029
6/6/19,20279,6397,5147,4192,2533,2081
6/7/19,20762,6603,5123,4018,2408,2009
6/8/19,25228,6969,5542,4473,2841,2415
6/9/19,26284,8762,7532,6191,4106,3532
6/10/19,30927,11753,9627,7720,4663,4025
