entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
11/5/18,20+,105,105
11/6/18,20+,202,202
11/7/18,20+,138,137
11/8/18,20+,307,299
11/9/18,20+,371,370
11/10/18,20+,608,606
11/11/18,20+,575,570
11/12/18,20+,692,689
11/13/18,20+,362,354
11/14/18,20+,439,435
11/15/18,20+,577,566
11/16/18,20+,839,825
11/17/18,20+,1008,994
11/18/18,20+,1581,1564
11/19/18,20+,1989,1978
11/20/18,20+,1234,1233
11/21/18,20+,1466,1445
11/22/18,20+,1758,1737
11/23/18,20+,1411,1398
11/24/18,20+,1161,1145
11/25/18,20+,1245,1234
11/26/18,20+,2424,2407
11/27/18,20+,1035,1034
11/28/18,20+,1276,1269
11/29/18,20+,1374,1368
11/30/18,20+,1805,1781
12/1/18,20+,1991,1984
12/2/18,20+,2078,2055
12/3/18,20+,3317,3298
12/4/18,20+,1511,1498
12/5/18,20+,1885,1880
12/6/18,20+,1963,1945
12/7/18,20+,2254,2233
12/8/18,20+,2408,2376
12/9/18,20+,2222,2214
12/10/18,20+,3509,3487
12/11/18,20+,1555,1543
12/12/18,20+,1763,1758
12/13/18,20+,1840,1816
12/14/18,20+,2425,2410
12/15/18,20+,2840,2819
12/16/18,20+,3613,3585
12/17/18,20+,4444,4412
12/18/18,20+,2819,2800
12/19/18,20+,3466,3429
12/20/18,20+,3381,3342
12/21/18,20+,4319,4257
12/22/18,20+,5573,5519
12/23/18,20+,7193,7110
12/24/18,20+,8323,8226
12/25/18,20+,6034,5997
12/26/18,20+,6551,6486
12/27/18,20+,8463,8347
12/28/18,20+,7274,7167
12/29/18,20+,6610,6554
12/30/18,20+,7724,7649
12/31/18,20+,9218,9104
1/1/19,20+,3904,3880
1/2/19,20+,5585,5503
1/3/19,20+,4077,4039
1/4/19,20+,3090,3077
1/5/19,20+,2689,2663
1/6/19,20+,3813,3772
1/7/19,20+,3779,3759
1/8/19,20+,3182,3163
1/9/19,20+,2361,2336
1/10/19,20+,3009,2976
1/11/19,20+,3134,3096
1/12/19,20+,3282,3262
1/13/19,20+,3110,3101
1/14/19,20+,5227,5200
1/15/19,20+,2606,2589
1/16/19,20+,2512,2490
1/17/19,20+,3761,3739
1/18/19,20+,4552,4504
1/19/19,20+,5407,5367
1/20/19,20+,4594,4558
1/21/19,20+,5689,5627
1/22/19,20+,5498,5462
1/23/19,20+,3346,3312
1/24/19,20+,3775,3739
1/25/19,20+,4379,4318
1/26/19,20+,4827,4803
1/27/19,20+,4711,4680
1/28/19,20+,5977,5928
1/29/19,20+,3585,3545
1/30/19,20+,3027,2992
1/31/19,20+,3441,3399
2/1/19,20+,4545,4490
2/2/19,20+,5212,5154
2/3/19,20+,5092,5056
2/4/19,20+,6913,6845
2/5/19,20+,4539,4501
2/6/19,20+,3869,3844
2/7/19,20+,4302,4256
2/8/19,20+,4637,4592
2/9/19,20+,5086,5062
2/10/19,20+,5224,5190
2/11/19,20+,6816,6761
2/12/19,20+,4002,3954
2/13/19,20+,4875,4836
2/14/19,20+,6186,6140
2/15/19,20+,5928,5882
2/16/19,20+,5660,5618
2/17/19,20+,6580,6533
2/18/19,20+,8142,8093
2/19/19,20+,9016,8917
2/20/19,20+,5917,5873
2/21/19,20+,6323,6265
2/22/19,20+,6510,6460
2/23/19,20+,6331,6291
2/24/19,20+,6230,6148
2/25/19,20+,8440,8373
2/26/19,20+,5462,5404
2/27/19,20+,4749,4700
2/28/19,20+,5445,5392
3/1/19,20+,5588,5520
3/2/19,20+,6050,5975
3/3/19,20+,6913,6869
