entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
5/9/19,60+,1543,1534
5/10/19,60+,1464,1453
5/11/19,60+,1976,1967
5/12/19,60+,2737,2714
5/13/19,60+,3823,3771
5/14/19,60+,2206,2190
5/15/19,60+,1733,1722
5/16/19,60+,1891,1879
5/17/19,60+,1652,1642
5/18/19,60+,2110,2094
5/19/19,60+,2791,2754
5/20/19,60+,3383,3358
5/21/19,60+,1705,1697
5/22/19,60+,1622,1603
5/23/19,60+,1859,1844
5/24/19,60+,1681,1674
5/25/19,60+,2714,2697
5/26/19,60+,3268,3246
5/27/19,60+,3478,3455
5/28/19,60+,3083,3078
5/29/19,60+,2096,2078
5/30/19,60+,1750,1740
5/31/19,60+,1660,1656
6/1/19,60+,2654,2632
6/2/19,60+,3437,3415
6/3/19,60+,3677,3658
6/4/19,60+,2294,2287
6/5/19,60+,1995,1985
6/6/19,60+,2065,2033
6/7/19,60+,1990,1976
6/8/19,60+,2373,2356
6/9/19,60+,3500,3477
6/10/19,60+,3977,3944
6/11/19,60+,2655,2638
6/12/19,60+,2173,2140
6/13/19,60+,1923,1902
6/14/19,60+,1929,1908
6/15/19,60+,2496,2489
6/16/19,60+,3655,3614
6/17/19,60+,3802,3763
6/18/19,60+,2809,2762
6/19/19,60+,2123,2102
6/20/19,60+,2087,2069
6/21/19,60+,2147,2141
6/22/19,60+,2656,2643
6/23/19,60+,3625,3603
6/24/19,60+,3810,3791
6/25/19,60+,2841,2829
6/26/19,60+,2186,2172
6/27/19,60+,2173,2166
6/28/19,60+,2124,2120
6/29/19,60+,2333,2316
6/30/19,60+,3909,3882
7/1/19,60+,3123,3113
7/2/19,60+,2540,2398
7/3/19,60+,2631,2620
7/4/19,60+,2207,2194
7/5/19,60+,2109,2091
7/6/19,60+,2241,2219
7/7/19,60+,3395,3350
7/8/19,60+,3554,3529
7/9/19,60+,3053,2828
7/10/19,60+,2658,2431
7/11/19,60+,1997,1990
7/12/19,60+,1960,1944
7/13/19,60+,2120,2102
7/14/19,60+,2735,2709
