entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
12/15/18,60+,76,76
12/16/18,60+,138,138
12/17/18,60+,284,284
12/18/18,60+,168,166
12/19/18,60+,358,358
12/20/18,60+,313,311
12/21/18,60+,457,456
12/22/18,60+,751,740
12/23/18,60+,871,863
12/24/18,60+,787,785
12/25/18,60+,584,582
12/26/18,60+,902,884
12/27/18,60+,1156,1154
12/28/18,60+,1056,1052
12/29/18,60+,973,967
12/30/18,60+,1048,1038
12/31/18,60+,1136,1135
1/1/19,60+,786,784
1/2/19,60+,1126,1121
1/3/19,60+,831,821
1/4/19,60+,685,680
1/5/19,60+,602,600
1/6/19,60+,958,948
1/7/19,60+,701,698
1/8/19,60+,676,662
1/9/19,60+,709,697
1/10/19,60+,809,800
1/11/19,60+,892,885
1/12/19,60+,967,965
1/13/19,60+,863,862
1/14/19,60+,1301,1295
1/15/19,60+,597,595
1/16/19,60+,776,774
1/17/19,60+,1082,1080
1/18/19,60+,1309,1298
1/19/19,60+,1551,1536
1/20/19,60+,1217,1209
1/21/19,60+,1503,1495
1/22/19,60+,1363,1359
1/23/19,60+,933,931
1/24/19,60+,1033,1032
1/25/19,60+,1366,1348
1/26/19,60+,1361,1357
1/27/19,60+,1678,1665
1/28/19,60+,1721,1711
1/29/19,60+,895,887
1/30/19,60+,794,783
1/31/19,60+,992,985
2/1/19,60+,1149,1136
2/2/19,60+,1452,1442
2/3/19,60+,1563,1553
2/4/19,60+,1638,1630
2/5/19,60+,957,953
2/6/19,60+,928,920
2/7/19,60+,1188,1177
2/8/19,60+,1194,1184
2/9/19,60+,1592,1579
2/10/19,60+,1396,1396
2/11/19,60+,1510,1490
2/12/19,60+,886,883
2/13/19,60+,1129,1128
2/14/19,60+,1530,1524
2/15/19,60+,1634,1627
2/16/19,60+,1708,1705
2/17/19,60+,2109,2098
2/18/19,60+,2299,2289
2/19/19,60+,2133,2106
2/20/19,60+,1366,1363
2/21/19,60+,1647,1638
2/22/19,60+,1816,1810
2/23/19,60+,1678,1672
2/24/19,60+,1898,1881
2/25/19,60+,2013,2009
2/26/19,60+,1296,1288
2/27/19,60+,1274,1257
2/28/19,60+,1320,1316
3/1/19,60+,1444,1431
3/2/19,60+,1720,1700
3/3/19,60+,1944,1938
3/4/19,60+,1662,1654
3/5/19,60+,1028,1018
3/6/19,60+,950,942
3/7/19,60+,1023,1018
3/8/19,60+,1007,992
3/9/19,60+,1494,1489
3/10/19,60+,2596,2588
3/11/19,60+,2276,2268
3/12/19,60+,1503,1493
3/13/19,60+,1178,1175
3/14/19,60+,1230,1225
3/15/19,60+,1155,1151
3/16/19,60+,1606,1592
3/17/19,60+,2380,2369
3/18/19,60+,2392,2380
3/19/19,60+,1318,1316
3/20/19,60+,1231,1223
3/21/19,60+,1412,1407
3/22/19,60+,1501,1495
3/23/19,60+,1904,1891
3/24/19,60+,3323,3315
3/25/19,60+,3366,3360
3/26/19,60+,1987,1976
3/27/19,60+,1616,1614
3/28/19,60+,1563,1546
3/29/19,60+,1620,1616
3/30/19,60+,1839,1831
3/31/19,60+,3051,3028
4/1/19,60+,2778,2764
4/2/19,60+,1532,1521
4/3/19,60+,1396,1383
4/4/19,60+,1507,1494
4/5/19,60+,1282,1271
4/6/19,60+,1120,1119
4/7/19,60+,2140,2112
4/8/19,60+,1831,1820
4/9/19,60+,1040,1033
4/10/19,60+,1176,1169
4/11/19,60+,1297,1284
4/12/19,60+,1758,1755
4/13/19,60+,2437,2416
4/14/19,60+,3383,3361
4/15/19,60+,3248,3234
4/16/19,60+,2109,2084
4/17/19,60+,1931,1904
4/18/19,60+,2089,2068
4/19/19,60+,2084,2083
4/20/19,60+,2070,2056
4/21/19,60+,2302,2278
4/22/19,60+,2933,2916
4/23/19,60+,1917,1910
4/24/19,60+,1394,1382
4/25/19,60+,1218,1210
4/26/19,60+,1298,1290
4/27/19,60+,1373,1365
4/28/19,60+,2529,2520
4/29/19,60+,2736,2716
4/30/19,60+,1676,1664
5/1/19,60+,1585,1575
5/2/19,60+,1544,1509
5/3/19,60+,1570,1554
5/4/19,60+,1903,1897
5/5/19,60+,2864,2841
5/6/19,60+,3751,3726
5/7/19,60+,2082,2076
5/8/19,60+,1751,1726
