entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
3/26/19,30+,5101,5055
3/27/19,30+,3969,3948
3/28/19,30+,3798,3755
3/29/19,30+,4044,4011
3/30/19,30+,3548,3519
3/31/19,30+,6956,6889
4/1/19,30+,7830,7777
4/2/19,30+,4809,4765
4/3/19,30+,3878,3853
4/4/19,30+,4249,4213
4/5/19,30+,3386,3358
4/6/19,30+,3036,3016
4/7/19,30+,5146,5094
4/8/19,30+,5357,5324
4/9/19,30+,3426,3408
4/10/19,30+,3236,3206
4/11/19,30+,4190,4139
4/12/19,30+,4552,4500
4/13/19,30+,5306,5253
4/14/19,30+,7656,7610
4/15/19,30+,8758,8694
4/16/19,30+,6140,6071
4/17/19,30+,5285,5235
4/18/19,30+,5510,5444
4/19/19,30+,5258,5214
4/20/19,30+,5371,5347
4/21/19,30+,5629,5587
4/22/19,30+,7769,7708
4/23/19,30+,5713,5686
4/24/19,30+,4223,4187
4/25/19,30+,3873,3843
4/26/19,30+,3632,3607
4/27/19,30+,3951,3909
4/28/19,30+,5525,5489
4/29/19,30+,6791,6744
4/30/19,30+,3981,3952
5/1/19,30+,3631,3604
5/2/19,30+,3581,3524
5/3/19,30+,3659,3621
5/4/19,30+,4122,4088
5/5/19,30+,5652,5603
5/6/19,30+,8483,8423
5/7/19,30+,5397,5328
5/8/19,30+,4130,4089
5/9/19,30+,3464,3442
5/10/19,30+,3298,3274
5/11/19,30+,4046,4013
5/12/19,30+,5442,5385
5/13/19,30+,8214,8135
5/14/19,30+,5408,5379
5/15/19,30+,4130,4105
5/16/19,30+,4114,4065
5/17/19,30+,3628,3608
5/18/19,30+,4447,4420
5/19/19,30+,5355,5277
5/20/19,30+,6786,6735
5/21/19,30+,3745,3692
5/22/19,30+,3178,3152
5/23/19,30+,3655,3612
5/24/19,30+,3396,3364
5/25/19,30+,5167,5120
5/26/19,30+,5923,5880
5/27/19,30+,7033,6994
5/28/19,30+,6314,6274
5/29/19,30+,4072,4038
5/30/19,30+,3732,3713
5/31/19,30+,3644,3622
6/1/19,30+,4973,4929
6/2/19,30+,6328,6251
6/3/19,30+,7273,7216
6/4/19,30+,4869,4843
6/5/19,30+,3870,3840
6/6/19,30+,4172,4122
6/7/19,30+,3996,3954
6/8/19,30+,4431,4389
6/9/19,30+,6148,6082
6/10/19,30+,7665,7594
6/11/19,30+,5498,5459
6/12/19,30+,4231,4177
6/13/19,30+,3995,3963
6/14/19,30+,3976,3935
6/15/19,30+,4923,4881
6/16/19,30+,6297,6238
6/17/19,30+,7525,7464
6/18/19,30+,5713,5634
6/19/19,30+,4375,4326
6/20/19,30+,4328,4301
6/21/19,30+,4164,4146
6/22/19,30+,5030,4998
6/23/19,30+,6182,6147
6/24/19,30+,7715,7670
6/25/19,30+,6092,6053
6/26/19,30+,4747,4707
6/27/19,30+,4273,4238
6/28/19,30+,4057,4018
6/29/19,30+,4474,4426
6/30/19,30+,7220,7141
7/1/19,30+,6266,6215
7/2/19,30+,5081,4920
7/3/19,30+,4666,4636
7/4/19,30+,4295,4256
7/5/19,30+,4476,4448
7/6/19,30+,4114,4063
7/7/19,30+,6268,6204
7/8/19,30+,7494,7410
7/9/19,30+,5989,5719
7/10/19,30+,5042,4775
7/11/19,30+,4147,4081
7/12/19,30+,4113,4073
7/13/19,30+,4459,4434
7/14/19,30+,5161,5114
