entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
11/15/18,30+,90,90
11/16/18,30+,216,216
11/17/18,30+,282,275
11/18/18,30+,532,531
11/19/18,30+,726,723
11/20/18,30+,507,507
11/21/18,30+,551,549
11/22/18,30+,858,848
11/23/18,30+,626,624
11/24/18,30+,474,474
11/25/18,30+,602,595
11/26/18,30+,1147,1138
11/27/18,30+,536,536
11/28/18,30+,620,615
11/29/18,30+,701,699
11/30/18,30+,961,951
12/1/18,30+,925,925
12/2/18,30+,999,987
12/3/18,30+,1759,1744
12/4/18,30+,793,787
12/5/18,30+,1007,1007
12/6/18,30+,1128,1128
12/7/18,30+,1248,1231
12/8/18,30+,1345,1322
12/9/18,30+,1328,1320
12/10/18,30+,2049,2034
12/11/18,30+,895,886
12/12/18,30+,1129,1129
12/13/18,30+,1179,1166
12/14/18,30+,1584,1575
12/15/18,30+,1937,1920
12/16/18,30+,2351,2343
12/17/18,30+,2817,2795
12/18/18,30+,1855,1841
12/19/18,30+,2277,2259
12/20/18,30+,2182,2168
12/21/18,30+,2708,2670
12/22/18,30+,3591,3560
12/23/18,30+,4878,4824
12/24/18,30+,5242,5213
12/25/18,30+,3953,3929
12/26/18,30+,4600,4558
12/27/18,30+,5928,5866
12/28/18,30+,5105,5036
12/29/18,30+,4563,4543
12/30/18,30+,5275,5221
12/31/18,30+,6176,6115
1/1/19,30+,2883,2874
1/2/19,30+,4134,4064
1/3/19,30+,3023,2992
1/4/19,30+,2262,2251
1/5/19,30+,1954,1943
1/6/19,30+,2941,2904
1/7/19,30+,2690,2680
1/8/19,30+,2319,2300
1/9/19,30+,1905,1886
1/10/19,30+,2344,2323
1/11/19,30+,2259,2239
1/12/19,30+,2501,2490
1/13/19,30+,2437,2430
1/14/19,30+,4140,4123
1/15/19,30+,2040,2027
1/16/19,30+,1979,1965
1/17/19,30+,2920,2909
1/18/19,30+,3497,3464
1/19/19,30+,4073,4041
1/20/19,30+,3634,3607
1/21/19,30+,4395,4346
1/22/19,30+,4189,4162
1/23/19,30+,2413,2393
1/24/19,30+,2669,2651
1/25/19,30+,3139,3101
1/26/19,30+,3366,3346
1/27/19,30+,3688,3668
1/28/19,30+,4476,4436
1/29/19,30+,2543,2518
1/30/19,30+,2024,1997
1/31/19,30+,2421,2395
2/1/19,30+,3034,2998
2/2/19,30+,3558,3517
2/3/19,30+,3644,3618
2/4/19,30+,4821,4779
2/5/19,30+,3062,3033
2/6/19,30+,2615,2594
2/7/19,30+,3123,3085
2/8/19,30+,3309,3280
2/9/19,30+,3653,3634
2/10/19,30+,3845,3822
2/11/19,30+,4889,4842
2/12/19,30+,2914,2905
2/13/19,30+,3635,3611
2/14/19,30+,4713,4685
2/15/19,30+,4451,4426
2/16/19,30+,4437,4399
2/17/19,30+,5273,5236
2/18/19,30+,6383,6343
2/19/19,30+,7026,6946
2/20/19,30+,4606,4567
2/21/19,30+,4826,4792
2/22/19,30+,5175,5141
2/23/19,30+,4909,4880
2/24/19,30+,4999,4947
2/25/19,30+,6483,6459
2/26/19,30+,4102,4065
2/27/19,30+,3645,3613
2/28/19,30+,4097,4060
3/1/19,30+,4067,4017
3/2/19,30+,4450,4400
3/3/19,30+,5206,5184
3/4/19,30+,5131,5095
3/5/19,30+,3534,3499
3/6/19,30+,3168,3114
3/7/19,30+,3159,3119
3/8/19,30+,2794,2767
3/9/19,30+,3512,3473
3/10/19,30+,5961,5940
3/11/19,30+,6356,6308
3/12/19,30+,5025,4990
3/13/19,30+,3566,3554
3/14/19,30+,3674,3644
3/15/19,30+,3223,3191
3/16/19,30+,3530,3487
3/17/19,30+,5668,5613
3/18/19,30+,6185,6149
3/19/19,30+,3961,3927
3/20/19,30+,3396,3349
3/21/19,30+,3536,3516
3/22/19,30+,3788,3751
3/23/19,30+,3848,3815
3/24/19,30+,6817,6766
3/25/19,30+,8112,8058
