entry_start_date,booking_window_range,atsr_tkt_id,ats_gst_id
11/25/18,40+,53,53
11/26/18,40+,114,111
11/27/18,40+,61,61
11/28/18,40+,156,156
11/29/18,40+,155,154
11/30/18,40+,211,205
12/1/18,40+,256,256
12/2/18,40+,312,303
12/3/18,40+,501,495
12/4/18,40+,235,235
12/5/18,40+,304,304
12/6/18,40+,235,235
12/7/18,40+,430,426
12/8/18,40+,471,461
12/9/18,40+,468,462
12/10/18,40+,734,731
12/11/18,40+,354,350
12/12/18,40+,496,496
12/13/18,40+,476,475
12/14/18,40+,684,679
12/15/18,40+,840,832
12/16/18,40+,1069,1067
12/17/18,40+,1469,1460
12/18/18,40+,944,940
12/19/18,40+,1252,1245
12/20/18,40+,1164,1153
12/21/18,40+,1620,1601
12/22/18,40+,2153,2132
12/23/18,40+,2784,2756
12/24/18,40+,3143,3116
12/25/18,40+,2257,2243
12/26/18,40+,2694,2661
12/27/18,40+,3522,3480
12/28/18,40+,2986,2970
12/29/18,40+,2628,2615
12/30/18,40+,3139,3118
12/31/18,40+,3564,3536
1/1/19,40+,1770,1763
1/2/19,40+,2494,2455
1/3/19,40+,1863,1842
1/4/19,40+,1463,1455
1/5/19,40+,1278,1269
1/6/19,40+,1977,1956
1/7/19,40+,1711,1703
1/8/19,40+,1512,1497
1/9/19,40+,1313,1296
1/10/19,40+,1558,1545
1/11/19,40+,1562,1551
1/12/19,40+,1788,1781
1/13/19,40+,1658,1652
1/14/19,40+,2683,2675
1/15/19,40+,1378,1366
1/16/19,40+,1462,1453
1/17/19,40+,2025,2018
1/18/19,40+,2457,2430
1/19/19,40+,2870,2852
1/20/19,40+,2404,2391
1/21/19,40+,3050,3013
1/22/19,40+,2951,2942
1/23/19,40+,1783,1773
1/24/19,40+,1830,1821
1/25/19,40+,2319,2297
1/26/19,40+,2369,2354
1/27/19,40+,2688,2674
1/28/19,40+,2957,2929
1/29/19,40+,1719,1702
1/30/19,40+,1428,1414
1/31/19,40+,1609,1594
2/1/19,40+,1938,1912
2/2/19,40+,2275,2257
2/3/19,40+,2299,2285
2/4/19,40+,2813,2795
2/5/19,40+,1788,1771
2/6/19,40+,1519,1510
2/7/19,40+,1865,1847
2/8/19,40+,1921,1909
2/9/19,40+,2357,2344
2/10/19,40+,2269,2267
2/11/19,40+,2743,2719
2/12/19,40+,1602,1596
2/13/19,40+,2139,2128
2/14/19,40+,2716,2708
2/15/19,40+,2831,2817
2/16/19,40+,2952,2934
2/17/19,40+,3686,3658
2/18/19,40+,4216,4200
2/19/19,40+,4251,4197
2/20/19,40+,2780,2767
2/21/19,40+,3122,3109
2/22/19,40+,3599,3587
2/23/19,40+,3381,3365
2/24/19,40+,3519,3485
2/25/19,40+,4327,4319
2/26/19,40+,2642,2630
2/27/19,40+,2518,2496
2/28/19,40+,2719,2701
3/1/19,40+,2801,2769
3/2/19,40+,3247,3210
3/3/19,40+,3729,3721
3/4/19,40+,3435,3412
3/5/19,40+,2250,2231
3/6/19,40+,2125,2098
3/7/19,40+,2085,2060
3/8/19,40+,1935,1912
3/9/19,40+,2571,2559
3/10/19,40+,4392,4382
3/11/19,40+,4454,4430
3/12/19,40+,3101,3078
3/13/19,40+,2363,2354
3/14/19,40+,2347,2330
3/15/19,40+,2175,2164
3/16/19,40+,2661,2627
3/17/19,40+,4079,4033
3/18/19,40+,4209,4188
3/19/19,40+,2616,2605
3/20/19,40+,2319,2301
3/21/19,40+,2529,2517
3/22/19,40+,2555,2536
3/23/19,40+,2895,2868
3/24/19,40+,5199,5170
3/25/19,40+,5525,5501
3/26/19,40+,3334,3315
3/27/19,40+,2697,2692
3/28/19,40+,2522,2500
3/29/19,40+,2715,2705
3/30/19,40+,2692,2674
3/31/19,40+,4908,4873
4/1/19,40+,5100,5068
4/2/19,40+,2925,2898
4/3/19,40+,2459,2438
4/4/19,40+,2782,2756
4/5/19,40+,2191,2172
4/6/19,40+,1965,1955
4/7/19,40+,3401,3365
4/8/19,40+,3407,3387
4/9/19,40+,2146,2129
4/10/19,40+,2062,2050
4/11/19,40+,2536,2506
4/12/19,40+,3046,3026
4/13/19,40+,3621,3587
4/14/19,40+,5453,5417
4/15/19,40+,5658,5609
4/16/19,40+,3691,3640
4/17/19,40+,3203,3161
4/18/19,40+,3523,3483
4/19/19,40+,3480,3464
4/20/19,40+,3433,3414
4/21/19,40+,3856,3818
4/22/19,40+,5075,5041
4/23/19,40+,3488,3469
4/24/19,40+,2583,2566
4/25/19,40+,2434,2414
4/26/19,40+,2493,2480
4/27/19,40+,2604,2577
4/28/19,40+,4060,4033
4/29/19,40+,4831,4807
4/30/19,40+,2924,2905
5/1/19,40+,2795,2776
5/2/19,40+,2643,2601
5/3/19,40+,2718,2697
5/4/19,40+,3017,2998
5/5/19,40+,4392,4348
5/6/19,40+,6652,6607
5/7/19,40+,3992,3930
5/8/19,40+,2920,2888
5/9/19,40+,2520,2503
5/10/19,40+,2451,2434
5/11/19,40+,3005,2986
5/12/19,40+,4184,4140
5/13/19,40+,6406,6344
5/14/19,40+,3952,3930
5/15/19,40+,3065,3048
5/16/19,40+,3093,3066
5/17/19,40+,2540,2524
5/18/19,40+,3348,3325
5/19/19,40+,4018,3973
5/20/19,40+,5116,5077
5/21/19,40+,2770,2717
5/22/19,40+,2415,2392
5/23/19,40+,2614,2589
5/24/19,40+,2598,2570
5/25/19,40+,4021,3989
5/26/19,40+,4554,4528
5/27/19,40+,5253,5223
5/28/19,40+,4773,4748
5/29/19,40+,2998,2967
5/30/19,40+,2710,2696
5/31/19,40+,2587,2576
6/1/19,40+,3788,3759
6/2/19,40+,4863,4817
6/3/19,40+,5331,5291
6/4/19,40+,3400,3380
6/5/19,40+,2880,2867
6/6/19,40+,2941,2905
6/7/19,40+,2909,2885
6/8/19,40+,3338,3300
6/9/19,40+,4763,4724
6/10/19,40+,5708,5658
6/11/19,40+,3915,3890
6/12/19,40+,3192,3143
6/13/19,40+,2760,2733
6/14/19,40+,2910,2878
6/15/19,40+,3578,3549
6/16/19,40+,4879,4827
6/17/19,40+,5584,5544
6/18/19,40+,4246,4188
6/19/19,40+,3199,3158
6/20/19,40+,3142,3118
6/21/19,40+,3109,3094
6/22/19,40+,3837,3813
6/23/19,40+,4782,4752
6/24/19,40+,5678,5641
6/25/19,40+,4249,4220
6/26/19,40+,3477,3444
6/27/19,40+,3182,3152
6/28/19,40+,3137,3104
6/29/19,40+,3399,3367
6/30/19,40+,5571,5515
7/1/19,40+,4686,4644
7/2/19,40+,3716,3560
7/3/19,40+,3675,3658
7/4/19,40+,3258,3228
7/5/19,40+,3121,3097
7/6/19,40+,3076,3037
7/7/19,40+,4701,4644
7/8/19,40+,5421,5380
7/9/19,40+,4407,4167
7/10/19,40+,3683,3439
7/11/19,40+,2886,2877
7/12/19,40+,3099,3077
7/13/19,40+,3176,3154
7/14/19,40+,3937,3896
